comment,"NaturalPoint Trackable Export Data"
comment,"== "
comment,"Format Information:"
comment,"== "
comment,"== Data is formatted in rows."
comment,"== First entry of each row identifies row type."
comment,"== "
comment,"== Types:"
comment,"== "
comment,"== comment: Comment, you can ignore this information"
comment,"== info: reports number of trackable definitions and"
comment,"==       total number of exported frames"
comment,"== trackable: Details rigid body definition in the following format:"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Marker Count (integer)"
comment,"==    -- X,Y,Z (float) 3D position of each marker in rigid body"
comment,"== "
comment,"== frame: Details frame of exported data in the following format:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Trackable Count (integer) number of trackables tracked in current frame"
comment,"==    -- Trackable ID, Position, Quaternion Orientation, and Eulers Orientation >for each tracked trackable< (ID, x,y,z, qx, qy, qz, qw, yaw, pitch, roll)"
comment,"==    -- Marker Count (integer) Count of all visibile markers in frame"
comment,"==    -- Marker Detail >for each reconstructed 3d marker< (x,y,z,id)"
comment,"== trackable: Extended information for current frame:"
comment,"==    -- Frame Index (integer)"
comment,"==    -- Time Stamp (double) in seconds"
comment,"==    -- Name (string)"
comment,"==    -- ID   (integer)"
comment,"==    -- Frames Since Last Tracked (integer). 0=currently tracked"
comment,"==    -- Marker Count (integer)"
comment,"==    -- Trackable Marker Location and ID >for each marker in trackable< (x,y,z,id)"
comment,"==    -- Point Cloud Marker corresponding to each trackable marker (x,y,z). (NAN,NAN,NAN) used for missing Point Cloud Markers."
comment,"==    -- Marker Tracked (integer) for each marker. 1=track, 0=untracked."
comment,"==    -- Marker Quality (float) for each marker. 1.0=Highest Quality, 0.0=Lowest Quality"
comment,"==    -- Mean Error (in mm/marker)"
comment,"== righthanded: Indicates a right-handed coordinate system"
comment,"== lefthanded: Indicates a left-handed coordinate system"
comment,"== "
righthanded
info,framecount,3709
info,trackablecount,2
trackable,"Trackable 1",1,2,0.00038851,-0.00084817,0.02410087,-0.00038851,0.00084811,-0.02410087
trackable,"Trackable 2",2,4,0.03391347,0.00269009,0.05245673,0.05134613,0.00054105,-0.03370882,-0.05111924,-0.00153136,0.03357825,-0.03414037,-0.00169981,-0.05232616
frame,0,0.00286093,2,1,0.00801264,0.74285054,-0.00293446,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58733082,0.47781274,-0.00582898,0.51030493,-0.85459805,0.05818329,0.07658887,-171.30076599,-61.77818680,-2.57911062,6,0.00840781,0.74195558,0.02112968,2920,0.00761748,0.74374545,-0.02699859,2076,0.56629878,0.44218349,-0.05067917,4630,0.60969055,0.51434237,-0.04899865,4632,0.56536341,0.43978506,0.03739426,4634,0.60840237,0.51567292,0.03881739,4636
trackable,0,0.00286093,"Trackable 1",1,0,2,0.00761742,0.74374557,-0.02700189,0.00840786,0.74195546,0.02113297,0.00761748,0.74374545,-0.02699859,0.00840781,0.74195558,0.02112968,1,1,0.96897411,0.96897411,0.00006321
trackable,0,0.00286093,"Trackable 2",2,0,4,0.56563419,0.44105920,-0.05100276,0.56535941,0.43977824,0.03734857,0.60989863,0.51469135,-0.04890994,0.60847145,0.51579177,0.03889391,0.56629878,0.44218349,-0.05067917,0.56536341,0.43978506,0.03739426,0.60969055,0.51434237,-0.04899865,0.60840237,0.51567292,0.03881739,1,1,1,1,0.00000000,0.87590218,0.30776554,0.52956951,0.00043340
frame,1,0.00686253,2,1,0.00810072,0.74291563,-0.00294384,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58739102,0.47784102,-0.00589018,0.51036274,-0.85455191,0.05819434,0.07670797,-171.27655029,-61.78637695,-2.56561494,6,0.00854768,0.74205989,0.02109228,2920,0.00765377,0.74377143,-0.02697996,2076,0.56636506,0.44217724,-0.05072204,4630,0.60972941,0.51439863,-0.04906563,4632,0.56541610,0.43982559,0.03734036,4634,0.60848415,0.51569420,0.03874235,4636
trackable,1,0.00686253,"Trackable 1",1,0,2,0.00765365,0.74377167,-0.02698609,0.00854779,0.74205965,0.02109841,0.00765377,0.74377143,-0.02697996,0.00854768,0.74205989,0.02109228,1,1,0.94363719,0.94363719,0.00011456
trackable,1,0.00686253,"Trackable 2",2,0,4,0.56570619,0.44106135,-0.05105028,0.56541234,0.43981916,0.03729495,0.60993105,0.51473725,-0.04897804,0.60855412,0.51581460,0.03882103,0.56636506,0.44217724,-0.05072204,0.56541610,0.43982559,0.03734036,0.60972941,0.51439863,-0.04906563,0.60848415,0.51569420,0.03874235,1,1,1,1,0.00000000,0.87937772,0.31340808,0.52581578,0.00043011
frame,2,0.01088551,2,1,0.00806670,0.74287403,-0.00289988,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58744085,0.47788543,-0.00596180,0.51061499,-0.85437816,0.05839691,0.07681197,-171.27668762,-61.82235718,-2.59060884,6,0.00846084,0.74198121,0.02118234,2920,0.00767255,0.74376690,-0.02698210,2076,0.56642187,0.44217807,-0.05076390,4630,0.60976809,0.51444763,-0.04914207,4632,0.56549692,0.43987170,0.03727719,4634,0.60850340,0.51577085,0.03864954,4636
trackable,2,0.01088551,"Trackable 1",1,0,2,0.00767253,0.74376696,-0.02698367,0.00846086,0.74198115,0.02118392,0.00767255,0.74376690,-0.02698210,0.00846084,0.74198121,0.02118234,1,1,0.98495644,0.98495644,0.00003069
trackable,2,0.01088551,"Trackable 2",2,0,4,0.56576806,0.44106925,-0.05110016,0.56549281,0.43986470,0.03723371,0.60996693,0.51478153,-0.04905849,0.60857421,0.51589280,0.03873080,0.56642187,0.44217807,-0.05076390,0.56549692,0.43987170,0.03727719,0.60976809,0.51444763,-0.04914207,0.60850340,0.51577085,0.03864954,1,1,1,1,0.00000000,0.88110268,0.31523478,0.52239770,0.00042371
frame,3,0.01489205,2,1,0.00813827,0.74293113,-0.00293455,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58747643,0.47795448,-0.00604345,0.51040012,-0.85449082,0.05830698,0.07705479,-171.21759033,-61.79353333,-2.54505348,6,0.00859090,0.74210125,0.02110236,2920,0.00768563,0.74376094,-0.02697146,2076,0.56640691,0.44226065,-0.05084565,4630,0.60981780,0.51449889,-0.04925768,4632,0.56554055,0.43994316,0.03722144,4634,0.60856992,0.51584512,0.03855785,4636
trackable,3,0.01489205,"Trackable 1",1,0,2,0.00768552,0.74376118,-0.02697759,0.00859102,0.74210101,0.02110849,0.00768563,0.74376094,-0.02697146,0.00859090,0.74210125,0.02110236,1,1,0.94362724,0.94362724,0.00011457
trackable,3,0.01489205,"Trackable 2",2,0,4,0.56575352,0.44115445,-0.05117043,0.56553787,0.43993866,0.03717471,0.61001307,0.51482636,-0.04916645,0.60863954,0.51596481,0.03863571,0.56640691,0.44226065,-0.05084565,0.56554055,0.43994316,0.03722144,0.60981780,0.51449889,-0.04925768,0.60856992,0.51584512,0.03855785,1,1,1,1,0.00000000,0.88523930,0.31868851,0.52380109,0.00042974
frame,4,0.01886339,2,1,0.00811957,0.74290615,-0.00297099,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58751357,0.47799677,-0.00610362,0.51035875,-0.85448152,0.05846758,0.07731032,-171.18461609,-61.79042435,-2.54709196,6,0.00855472,0.74205065,0.02106175,2920,0.00768442,0.74376166,-0.02700374,2076,0.56643784,0.44227678,-0.05087710,4630,0.60984844,0.51453811,-0.04934787,4632,0.56558198,0.44002107,0.03718685,4634,0.60861486,0.51588017,0.03847628,4636
trackable,4,0.01886339,"Trackable 1",1,0,2,0.00768430,0.74376190,-0.02701023,0.00855484,0.74205041,0.02106825,0.00768442,0.74376166,-0.02700374,0.00855472,0.74205065,0.02106175,1,1,0.94043672,0.94043672,0.00012103
trackable,4,0.01886339,"Trackable 2",2,0,4,0.56578481,0.44117081,-0.05120741,0.56557828,0.44001472,0.03713931,0.61003953,0.51485890,-0.04925404,0.60868943,0.51600850,0.03855678,0.56643784,0.44227678,-0.05087710,0.56558198,0.44002107,0.03718685,0.60984844,0.51453811,-0.04934787,0.60861486,0.51588017,0.03847628,1,1,1,1,0.00000000,0.88114274,0.32277632,0.51016057,0.00043569
frame,5,0.02285308,2,1,0.00815091,0.74292463,-0.00295755,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58754605,0.47805968,-0.00616216,0.51029521,-0.85448313,0.05860061,0.07761107,-171.13908386,-61.78421783,-2.53813815,6,0.00862837,0.74210215,0.02107441,2920,0.00767345,0.74374712,-0.02698950,2076,0.56644911,0.44232312,-0.05092122,4630,0.60987836,0.51458490,-0.04943193,4632,0.56563079,0.44011396,0.03716939,4634,0.60865963,0.51595408,0.03838421,4636
trackable,5,0.02285308,"Trackable 1",1,0,2,0.00767332,0.74374735,-0.02699611,0.00862851,0.74210191,0.02108102,0.00767345,0.74374712,-0.02698950,0.00862837,0.74210215,0.02107441,1,1,0.93942344,0.93942344,0.00012306
trackable,5,0.02285308,"Trackable 2",2,0,4,0.56579530,0.44121590,-0.05124475,0.56562662,0.44010666,0.03711911,0.61006469,0.51489753,-0.04933972,0.60873640,0.51608616,0.03846695,0.56644911,0.44232312,-0.05092122,0.56563079,0.44011396,0.03716939,0.60987836,0.51458490,-0.04943193,0.60865963,0.51595408,0.03838421,1,1,1,1,0.00000000,0.87504518,0.33190882,0.50862545,0.00044180
frame,6,0.02685000,2,1,0.00816050,0.74293393,-0.00293312,0.00000000,0.00000000,-0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,2,0.58756483,0.47813922,-0.00620895,0.51023448,-0.85449821,0.05858586,0.07785431,-171.08728027,-61.77669525,-2.50571299,6,0.00861927,0.74210054,0.02112560,2920,0.00770172,0.74376732,-0.02699184,2076,0.56643826,0.44238859,-0.05096459,4630,0.60988587,0.51465058,-0.04950590,4632,0.56566030,0.44020057,0.03714538,4634,0.60870725,0.51605159,0.03832555,4636
trackable,6,0.02685000,"Trackable 1",1,0,2,0.00770165,0.74376744,-0.02699577,0.00861935,0.74210042,0.02112953,0.00770172,0.74376732,-0.02699184,0.00861927,0.74210054,0.02112560,1,1,0.96320570,0.96320570,0.00007492
